CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Customer_Phone,DateFirstPurchase,CommuteDistance
11535,543,Devin,Nelson,12/31/1963,M,M,devin32@adventure-works.com,60000,4,0,Graduate Degree,Skilled Manual,1,0,2569 Webster Drive,,256-555-0111,9/2/2011,0-1 Miles
11303,614,Julia,Coleman,4/10/1966,S,F,julia72@adventure-works.com,90000,4,3,High School,Professional,0,3,3128 Ramsey Circle,,907-555-0170,9/2/2011,1-2 Miles
12179,543,Alexis,Jones,4/8/1941,S,F,alexis3@adventure-works.com,50000,2,0,Graduate Degree,Management,1,2,5925 Rain Drop Circle,,982-555-0141,12/16/2011,5-10 Miles
12764,642,Alexandra,Harris,8/13/1964,M,F,alexandra77@adventure-works.com,30000,1,0,Partial College,Clerical,1,1,5454 Old Mt. View Drive,,846-555-0165,12/16/2011,5-10 Miles
11217,547,Natalie,Adams,8/11/1955,S,F,natalie58@adventure-works.com,60000,2,1,Partial College,Professional,1,2,6592 Bent Tree Lane,,300-555-0150,8/10/2011,10+ Miles
11325,637,Elijah,Ross,12/29/1944,S,M,elijah7@adventure-works.com,90000,5,0,Bachelors,Management,1,2,6679 Cornelius Dr,,409-555-0142,9/19/2011,5-10 Miles
11778,638,Haley,Henderson,9/17/1976,S,F,haley24@adventure-works.com,60000,1,0,Graduate Degree,Skilled Manual,1,0,1019 Chance Drive,,868-555-0128,10/27/2011,0-1 Miles
12901,552,Robert,Adams,8/12/1974,M,M,robert57@adventure-works.com,50000,2,2,Bachelors,Skilled Manual,1,0,1519 Sheffield Place,,529-555-0126,12/5/2011,2-5 Miles
28078,542,Jack,Young,9/9/1974,S,M,jack54@adventure-works.com,80000,4,3,Bachelors,Management,1,0,1293 Silverwood Drive,,893-555-0174,2/18/2011,1-2 Miles
29155,633,Gabriella,Kelly,10/4/1978,S,F,gabriella0@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,1,9389 RaceCourt,,963-555-0150,7/28/2011,0-1 Miles
11541,547,Aidan,Ross,10/9/1964,S,M,aidan4@adventure-works.com,60000,4,0,Graduate Degree,Skilled Manual,0,0,2209 Sequoia Drive,,154-555-0143,9/12/2011,0-1 Miles
12141,536,Kaitlyn,Lee,9/16/1976,S,F,kaitlyn45@adventure-works.com,90000,4,4,Partial College,Professional,1,3,4179 Maureen Lane,,936-555-0110,11/5/2011,2-5 Miles
12041,627,Seth,Martin,6/3/1986,M,M,seth15@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,1019 Pennsylvania Blvd,,499-555-0118,11/9/2011,5-10 Miles
12780,631,Jeremy,Richardson,3/19/1967,M,M,jeremy39@adventure-works.com,40000,1,0,Partial College,Clerical,1,1,7948 Walnut Blvd,,817-555-0123,12/21/2011,1-2 Miles
12418,539,Robert,Hernandez,4/23/1959,S,M,robert60@adventure-works.com,20000,2,0,High School,Manual,0,2,1725 La Salle Ave.,,175-555-0178,12/21/2011,1-2 Miles
27919,618,Ryan,Lal,4/19/1978,S,M,ryan33@adventure-works.com,70000,0,0,Partial College,Skilled Manual,1,2,7512 Sanford Street,,505-555-0116,2/27/2011,5-10 Miles
28041,631,Rebecca,Wright,10/30/1954,S,F,rebecca21@adventure-works.com,60000,2,1,Partial College,Professional,0,2,5648 Roland Ct.,,883-555-0117,2/27/2011,2-5 Miles
29146,614,Ian,Henderson,4/6/1968,M,M,ian45@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,6366 Baker Dr.,,313-555-0114,7/8/2011,2-5 Miles
29334,644,Paige,Howard,11/8/1984,S,F,paige35@adventure-works.com,30000,0,0,Partial High School,Clerical,0,2,6068 Campbell Ave,,318-555-0161,8/14/2011,0-1 Miles
11259,548,Victoria,Stewart,9/24/1970,M,F,victoria24@adventure-works.com,100000,4,1,Partial College,Professional,1,4,3623 Barquentine Court,,230-555-0139,9/4/2011,2-5 Miles
27671,607,Jeremiah,Martinez,9/1/1958,S,M,jeremiah8@adventure-works.com,70000,3,0,Graduate Degree,Management,0,2,9963 Pacific,,400-555-0193,1/9/2011,1-2 Miles
11224,612,Tiffany,Li,3/5/1957,S,F,tiffany3@adventure-works.com,70000,2,1,High School,Professional,1,2,6404 Del Mar Ave,,197-555-0118,8/7/2011,10+ Miles
12423,631,Sarah,Thompson,10/19/1970,S,F,sarah17@adventure-works.com,20000,3,0,Partial High School,Clerical,0,2,6277 Morengo Ct.,,412-555-0111,12/19/2011,1-2 Miles
12084,545,Aidan,Perry,2/3/1953,M,M,aidan8@adventure-works.com,60000,5,0,Bachelors,Management,0,3,4772 Ravenwood,,932-555-0175,11/8/2011,2-5 Miles
12030,618,Ana,Washington,8/5/1982,S,F,ana12@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,5157 Maywood Lane,,129-555-0170,11/6/2011,5-10 Miles
28148,611,Jon,Zhao,2/15/1975,S,M,jon30@adventure-works.com,60000,4,4,Bachelors,Skilled Manual,0,3,3682 Macarthur Avenue,,363-555-0147,3/19/2011,5-10 Miles
28830,632,Matthew,Smith,12/21/1975,M,M,matthew6@adventure-works.com,40000,1,1,Bachelors,Skilled Manual,1,0,1399 Firestone Drive,,823-555-0141,6/16/2011,0-1 Miles
28870,626,Brian,Watson,3/10/1983,M,M,brian12@adventure-works.com,70000,0,0,Partial College,Skilled Manual,1,2,174 Carlotta,,514-555-0197,6/25/2011,5-10 Miles
29150,542,Wyatt,Griffin,1/9/1967,M,M,wyatt49@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,879 St. Andrews Way,,171-555-0168,7/31/2011,2-5 Miles
12109,641,Morgan,Foster,9/17/1955,S,F,morgan85@adventure-works.com,60000,2,1,Partial College,Professional,1,2,5537 Broadway,,118-555-0119,11/10/2011,10+ Miles
28833,614,Abigail,Harris,5/3/1975,M,F,abigail54@adventure-works.com,60000,1,1,Bachelors,Skilled Manual,1,1,8620 Moss Hollow Court,,364-555-0127,6/10/2011,2-5 Miles
28838,611,Jasmine,Ross,4/24/1977,S,F,jasmine44@adventure-works.com,60000,1,0,Graduate Degree,Professional,0,0,3589 G Street,,141-555-0122,6/11/2011,0-1 Miles
28821,618,Blake,Jackson,1/17/1978,M,M,blake11@adventure-works.com,60000,1,1,Bachelors,Skilled Manual,1,0,137 Lancelot Dr,,496-555-0164,6/11/2011,2-5 Miles
29167,611,Dawn,Shen,9/5/1975,S,F,dawn26@adventure-works.com,80000,2,0,Graduate Degree,Professional,0,0,2880 Ponderosa Dr.,,786-555-0191,7/4/2011,0-1 Miles
29169,611,Victoria,Bailey,3/17/1964,S,F,victoria33@adventure-works.com,60000,1,0,Bachelors,Professional,0,1,9090 Cristobal,,286-555-0132,7/9/2011,0-1 Miles
12773,609,Samantha,Taylor,5/8/1961,M,F,samantha10@adventure-works.com,40000,1,0,Partial College,Clerical,1,1,1700 Glazier Ct.,,741-555-0192,12/27/2011,0-1 Miles
28822,618,Amanda,Alexander,1/16/1978,M,F,amanda40@adventure-works.com,60000,1,1,Bachelors,Skilled Manual,1,0,5052 Bannock Ct.,,234-555-0189,6/30/2011,0-1 Miles
28839,552,Connor,Parker,4/9/1982,M,M,connor28@adventure-works.com,60000,1,0,Graduate Degree,Professional,1,0,6230 Blue Ridge,,936-555-0177,6/30/2011,2-5 Miles
28792,612,Henry,Stone,9/6/1963,S,M,henry9@adventure-works.com,40000,2,0,Partial College,Clerical,1,1,549 Via Appia,,987-555-0176,5/6/2011,1-2 Miles
29017,553,Gabriel,Long,12/24/1955,M,M,gabriel6@adventure-works.com,60000,2,1,High School,Professional,0,2,5092 Second Street,,909-555-0167,6/15/2011,2-5 Miles
12108,627,James,Walker,2/19/1961,M,M,james96@adventure-works.com,60000,2,1,Partial College,Professional,1,2,9142 Altura Drive,,314-555-0135,11/18/2011,10+ Miles
29145,631,Shelby,Gray,2/7/1968,M,F,shelby6@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,938 San Ysidro Court,,744-555-0162,7/19/2011,2-5 Miles
28030,536,Jason,Gonzalez,10/1/1958,S,M,jason37@adventure-works.com,70000,2,1,Bachelors,Management,0,1,3567 Sierra Street,,226-555-0143,2/10/2011,2-5 Miles
11278,614,Jonathan,Phillips,2/16/1969,S,M,jonathan35@adventure-works.com,90000,0,0,Partial College,Professional,0,1,8772 Rock Creek Way,,967-555-0176,9/16/2011,10+ Miles
29276,633,Sydney,Flores,2/19/1959,M,F,sydney34@adventure-works.com,70000,3,0,Graduate Degree,Management,1,2,7948 Rambling Lane,,621-555-0147,7/14/2011,5-10 Miles
12083,614,Kayla,Alexander,8/28/1951,M,F,kayla43@adventure-works.com,70000,4,1,Bachelors,Management,1,1,2908 Piper Ridge Court,,179-555-0179,11/24/2011,10+ Miles
27605,638,Miguel,Martinez,7/18/1973,M,M,miguel17@adventure-works.com,60000,2,0,High School,Professional,1,2,5656 Via Delaware,,455-555-0163,1/26/2011,5-10 Miles
28061,302,Kyle,Lopez,1/5/1977,S,M,kyle49@adventure-works.com,70000,4,0,Graduate Degree,Professional,0,0,3234 Royal Arch Court,,758-555-0180,2/16/2011,0-1 Miles
29142,302,Ashley,Smith,5/20/1973,M,F,ashley0@adventure-works.com,60000,1,0,Bachelors,Professional,1,1,6613 Benton St.,,847-555-0116,7/6/2011,2-5 Miles
11817,310,Morgan,Miller,11/23/1981,S,F,morgan29@adventure-works.com,70000,4,0,Graduate Degree,Professional,1,0,5929 William Reed Dr.,,339-555-0137,10/13/2011,2-5 Miles
28294,337,Alexis,Jenkins,2/1/1960,S,F,alexis29@adventure-works.com,60000,2,0,Partial High School,Skilled Manual,1,2,3763 Rosemarie Pl.,,767-555-0158,4/26/2011,5-10 Miles
27726,335,Sophia,Hall,9/23/1985,S,F,sophia20@adventure-works.com,30000,0,0,High School,Skilled Manual,0,2,8327 Roundhouse Place,,112-555-0152,2/4/2011,0-1 Miles
28847,311,Carly,Xu,11/20/1973,S,F,carly4@adventure-works.com,70000,2,2,Bachelors,Skilled Manual,1,1,2206 Clear View Circle,,270-555-0111,6/12/2011,2-5 Miles
28990,311,Ann,Raman,3/3/1955,S,F,ann17@adventure-works.com,30000,5,0,Partial High School,Clerical,1,2,874 Olivera Road,,592-555-0112,6/19/2011,10+ Miles
11531,300,Nina,Yuan,7/7/1962,M,F,nina7@adventure-works.com,40000,1,0,Partial College,Clerical,1,1,4851 Heights Ave.,,568-555-0198,8/30/2011,0-1 Miles
11826,300,Jessie,Alonso,8/15/1971,M,F,jessie6@adventure-works.com,70000,5,0,Graduate Degree,Professional,1,0,7342 Dew Drop Circle,,579-555-0138,10/27/2011,0-1 Miles
11956,300,Alexandria,Sandberg,8/30/1985,S,F,alexandria27@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,844 Sol Street,,998-555-0194,10/31/2011,5-10 Miles
12770,338,Charles,Evans,9/19/1966,M,M,charles44@adventure-works.com,40000,1,0,Partial College,Clerical,1,1,5276 Whitehall Drive,,362-555-0140,12/18/2011,1-2 Miles
12187,300,Ruben,Subram,1/19/1966,M,M,ruben14@adventure-works.com,100000,0,3,Partial College,Professional,1,3,9058 East 23rd Street,,504-555-0163,12/25/2011,1-2 Miles
29264,312,Riley,Brooks,7/26/1941,M,F,riley21@adventure-works.com,90000,4,0,Bachelors,Management,0,2,4903 Lemonwood Drive,,999-555-0126,7/11/2011,1-2 Miles
11286,374,Hunter,Griffin,8/31/1967,M,M,hunter16@adventure-works.com,170000,0,0,Graduate Degree,Management,1,4,4079 Redbird Lane,,410-555-0148,9/21/2011,2-5 Miles
27663,368,Aaron,Collins,9/21/1971,S,M,aaron35@adventure-works.com,170000,1,1,Graduate Degree,Management,0,2,6767 Stinson,,170-555-0177,1/25/2011,0-1 Miles
11955,325,Gabriel,Green,10/2/1980,S,M,gabriel45@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,6991 Gloria Terr.,,149-555-0162,10/29/2011,5-10 Miles
12018,359,Devin,Henderson,1/30/1986,M,M,devin43@adventure-works.com,30000,0,0,High School,Skilled Manual,1,2,685 St. Peter Court,,382-555-0138,10/29/2011,5-10 Miles
28250,298,Tyrone,Dominguez,5/14/1974,M,M,tyrone11@adventure-works.com,100000,0,2,Partial College,Professional,1,2,8370 Merry Circle,,818-555-0171,4/9/2011,2-5 Miles
28234,298,Jack,Nelson,8/13/1970,M,M,jack45@adventure-works.com,100000,4,1,Partial College,Professional,1,4,3624 Garaventa Drive,,262-555-0139,4/10/2011,2-5 Miles
28797,348,Alexandra,Wood,4/16/1965,S,F,alexandra25@adventure-works.com,40000,2,0,Partial College,Clerical,0,1,8249 La Jolla,,794-555-0196,5/19/2011,1-2 Miles
28643,372,Xavier,Gray,5/9/1982,M,M,xavier72@adventure-works.com,50000,1,1,Graduate Degree,Skilled Manual,1,0,3338 Stillwater Ct.,,230-555-0120,5/19/2011,0-1 Miles
29170,302,Alexandra,Adams,4/14/1964,S,F,alexandra57@adventure-works.com,60000,1,0,Bachelors,Professional,0,1,3215 Polson Court,,629-555-0159,7/3/2011,0-1 Miles
12771,372,Morgan,Thomas,10/18/1966,M,F,morgan33@adventure-works.com,40000,1,0,Partial College,Clerical,1,1,3406 Oak Brook Place,,650-555-0176,12/9/2011,0-1 Miles
28259,369,Samuel,Mitchell,11/29/1973,M,M,samuel41@adventure-works.com,160000,1,2,Bachelors,Management,1,3,3663 Colt Ct.,,654-555-0112,4/8/2011,0-1 Miles
28651,299,Lauren,Brown,8/10/1975,M,F,lauren22@adventure-works.com,40000,1,1,Bachelors,Skilled Manual,1,1,5409 South St.,,549-555-0126,5/12/2011,0-1 Miles
11825,298,Aimee,She,11/15/1971,S,F,aimee17@adventure-works.com,70000,5,0,Graduate Degree,Professional,1,0,6752 Covington Court,,137-555-0149,10/16/2011,2-5 Miles
12206,337,Sierra,Parker,10/9/1944,M,F,sierra7@adventure-works.com,90000,5,0,Bachelors,Management,1,2,9593 Power Ave.,,220-555-0129,12/28/2011,5-10 Miles
28062,369,Xavier,Roberts,9/11/1971,S,M,xavier36@adventure-works.com,70000,4,0,Graduate Degree,Professional,1,0,6206 Arthur Rd,,697-555-0137,2/27/2011,2-5 Miles
28071,299,Trevor,Ross,1/6/1985,M,M,trevor3@adventure-works.com,80000,0,0,Bachelors,Management,0,1,9956 La Salle St.,,261-555-0142,2/8/2011,0-1 Miles
28088,298,Marshall,Lal,10/25/1984,M,M,marshall30@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,,340-555-0154,3/6/2011,5-10 Miles
28268,311,Jordan,Campbell,7/9/1972,S,F,jordan35@adventure-works.com,120000,1,3,High School,Professional,1,4,473 Heather Road,,603-555-0129,4/11/2011,5-10 Miles
28775,335,Morgan,Anderson,11/23/1959,M,F,morgan32@adventure-works.com,40000,1,0,Partial College,Clerical,1,1,5328 Mitchelleanjen Ln.,,822-555-0116,5/15/2011,0-1 Miles
29274,335,Miguel,Green,1/19/1966,S,M,miguel31@adventure-works.com,120000,5,4,High School,Professional,1,3,1962 Ferndale Lane,,290-555-0145,7/5/2011,5-10 Miles
12052,355,Makayla,Ward,11/23/1972,S,F,makayla11@adventure-works.com,120000,0,1,Bachelors,Management,0,2,9023 Brush Creek Court,,328-555-0112,11/3/2011,1-2 Miles
12016,310,Meredith,Serrano,6/11/1981,S,F,meredith40@adventure-works.com,40000,0,0,High School,Skilled Manual,0,1,7440 Dorset Way,,335-555-0184,11/14/2011,0-1 Miles
27667,314,Jessica,Sanchez,6/20/1960,M,F,jessica1@adventure-works.com,70000,3,1,High School,Professional,0,1,6670 Del Rey St,,135-555-0163,1/19/2011,1-2 Miles
28150,336,Connor,Chen,5/6/1970,S,M,connor20@adventure-works.com,60000,4,2,Bachelors,Skilled Manual,0,2,7622 Mayette Avenue,,238-555-0127,3/15/2011,0-1 Miles
11776,368,Seth,Mitchell,12/31/1978,M,M,seth38@adventure-works.com,50000,1,0,Graduate Degree,Skilled Manual,1,0,8125 Westbury Drive,,171-555-0140,10/5/2011,1-2 Miles
28629,298,Cynthia,Madan,2/2/1965,M,F,cynthia12@adventure-works.com,40000,2,0,Partial College,Clerical,0,1,682 Ada Dr.,,590-555-0164,5/11/2011,0-1 Miles
11090,338,Trevor,Bryant,12/13/1968,S,M,trevor18@adventure-works.com,90000,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,,853-555-0174,8/7/2011,2-5 Miles
27601,301,Sydney,Rogers,5/6/1970,S,F,sydney3@adventure-works.com,60000,3,1,Partial High School,Skilled Manual,0,3,1016 Park Avenue,,958-555-0163,1/2/2011,2-5 Miles
28172,301,Charles,Moore,11/23/1972,M,M,charles11@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,4000 Krueger Drive,,799-555-0117,3/3/2011,2-5 Miles
28842,337,Nicole,Bailey,11/16/1976,M,F,nicole33@adventure-works.com,70000,3,0,Graduate Degree,Professional,1,0,3328 Via Cortez,,191-555-0167,6/4/2011,2-5 Miles
28840,301,Valerie,Harrison,1/8/1977,S,F,valerie20@adventure-works.com,70000,2,0,Graduate Degree,Professional,0,0,1694 Ohara Avenue,,511-555-0152,6/14/2011,0-1 Miles
28966,311,Martha,Li,2/15/1960,S,F,martha3@adventure-works.com,40000,4,0,High School,Professional,0,2,535 La Salle Street,,144-555-0189,6/14/2011,1-2 Miles
11299,301,Orlando,Vazquez,9/29/1941,M,M,orlando14@adventure-works.com,70000,4,0,Graduate Degree,Management,1,2,8547 Catherine Way,,757-555-0143,9/26/2011,1-2 Miles
11324,325,Zachary,Anderson,11/10/1944,M,M,zachary39@adventure-works.com,90000,5,0,Bachelors,Management,1,2,2476 Mt. Whitney Way,,693-555-0118,9/26/2011,1-2 Miles
12885,360,Jonathan,Anderson,8/11/1982,M,M,jonathan62@adventure-works.com,60000,1,0,Graduate Degree,Skilled Manual,1,0,8673 Mt. Wilson Way,,470-555-0179,12/10/2011,0-1 Miles
12904,307,Thomas,Jai,2/16/1980,M,M,thomas35@adventure-works.com,50000,2,2,Bachelors,Skilled Manual,1,0,2743 Veale Ave,,906-555-0113,12/22/2011,2-5 Miles
12762,372,Jonathan,Smith,12/16/1964,M,M,jonathan60@adventure-works.com,30000,1,0,Bachelors,Skilled Manual,1,1,1064 Diver Way,,480-555-0187,12/22/2011,5-10 Miles
28831,329,Elizabeth,Harris,7/15/1975,M,F,elizabeth17@adventure-works.com,40000,1,1,Bachelors,Skilled Manual,1,0,1612 Geary Ct.,,467-555-0115,6/20/2011,0-1 Miles
27646,329,Jackson,Li,5/13/1967,S,M,jackson28@adventure-works.com,130000,1,3,Bachelors,Management,0,2,7182 Benedict Ct,,584-555-0167,1/13/2011,2-5 Miles
28042,311,Joseph,Brown,4/11/1960,S,M,joseph10@adventure-works.com,60000,2,1,Bachelors,Management,0,0,5452 Corte Gilberto,,207-555-0158,2/12/2011,2-5 Miles
28158,299,Clarence,Luo,9/3/1967,S,M,clarence20@adventure-works.com,70000,1,0,Bachelors,Professional,1,1,9620 Fallbrook Road,,733-555-0149,3/10/2011,2-5 Miles
28223,315,Jessica,Davis,7/3/1968,S,F,jessica52@adventure-works.com,60000,2,0,High School,Professional,1,2,624 Peabody Road,,186-555-0118,4/16/2011,5-10 Miles
28829,299,Robert,Bryant,8/15/1975,M,M,robert29@adventure-works.com,40000,1,1,Bachelors,Skilled Manual,0,0,1336 Terrace Road,,243-555-0174,5/31/2011,0-1 Miles
12768,310,Johnathan,Chapman,11/23/1959,M,M,johnathan3@adventure-works.com,30000,1,0,High School,Clerical,1,1,5328 Mitchelleanjen Ln.,,588-555-0191,12/12/2011,2-5 Miles
12886,359,Jocelyn,Long,10/30/1982,S,F,jocelyn10@adventure-works.com,60000,1,0,Graduate Degree,Skilled Manual,1,0,3319 North 90th St,,644-555-0177,12/17/2011,1-2 Miles
28070,314,Ian,Morris,4/7/1979,S,M,ian85@adventure-works.com,80000,0,0,Bachelors,Management,1,1,2371 Deerfield Dr.,,364-555-0127,2/11/2011,1-2 Miles
29278,337,Janet,Scott,8/14/1964,S,F,janet33@adventure-works.com,70000,3,0,Graduate Degree,Management,1,2,2616 Northridge Drive,,422-555-0144,7/12/2011,5-10 Miles
12709,358,Ian,Rodriguez,7/14/1946,M,M,ian18@adventure-works.com,130000,2,3,Bachelors,Management,1,4,7744 Lacorso Drive,,631-555-0178,12/8/2011,0-1 Miles
28580,298,Aimee,Liu,1/2/1977,M,F,aimee4@adventure-works.com,80000,0,0,Graduate Degree,Skilled Manual,1,0,5025 North Star Dr,,317-555-0116,4/20/2011,1-2 Miles
12076,322,Chloe,Washington,2/22/1955,M,F,chloe80@adventure-works.com,70000,5,0,Bachelors,Management,1,2,9115 Arthur Rd.,,276-555-0136,11/4/2011,10+ Miles
28774,311,Latasha,Rowe,5/13/1976,M,F,latasha2@adventure-works.com,30000,1,0,High School,Clerical,1,1,4659 Cape Cod Way,,744-555-0184,5/7/2011,2-5 Miles
28795,345,Jesse,Allen,1/10/1970,S,M,jesse42@adventure-works.com,40000,2,0,Partial College,Clerical,0,1,7886 Fairfield Avenue,,634-555-0114,5/16/2011,1-2 Miles
12096,358,Caitlin,Brooks,8/26/1953,M,F,caitlin1@adventure-works.com,60000,2,1,Bachelors,Management,0,0,458 Las Ramblas,,425-555-0131,11/17/2011,2-5 Miles
12774,302,Kristen,Gao,9/18/1971,M,F,kristen13@adventure-works.com,40000,1,0,Partial College,Clerical,1,1,9456 Bell Dr.,,368-555-0152,12/20/2011,1-2 Miles
